Fecha,Exportaciones,Importaciones
1991/01,3256.379,3663.408
1991/02,3133.354,3557.444
1991/03,3386.678,3517.526
1991/04,3713.11,4207.025
1991/05,3680.416,4186.364
1991/06,3477.767,3996.218
1991/07,3648.653,4439
1991/08,3497.12,4218.664
1991/09,3576.016,4195.825
1991/10,4055.973,4764.087
1991/11,3705.89,4668.998
1991/12,3556.164,4552.001
1992/01,3169.735,4261.307
1992/02,3358.682,4469.103
1992/03,4043.384,5217.605
1992/04,3701.545,4945.608
1992/05,3756.704,5070.167
1992/06,4118.518,5546.097
1992/07,3857.904,5478.773
1992/08,3858.392,4992.936
1992/09,4003.727,5331.744
1992/10,4315.999,5767.35
1992/11,3914.296,5365.409
1992/12,4096.737,5683.251
1993/01,3491.025,4615.875
1993/02,3824.112,5052.105
1993/03,4454.157,5716.663
1993/04,4131.085,5189.932
1993/05,4125.457,5200.38
1993/06,4789.999,5929.171
1993/07,4151.908,5537.398
1993/08,4219.402,5286.125
1993/09,4446.892,5502.726
1993/10,4923.708,5705.325
1993/11,4649.174,5732.15
1993/12,4679.05,5898.692
1994/01,4089.07,5552.008
1994/02,4531.315,6035.607
1994/03,5155.533,6485.486
1994/04,4655.097,6074.339
1994/05,5096.665,6607.078
1994/06,5315.984,6936.622
1994/07,4757.6,6302.575
1994/08,5271.435,6988.692
1994/09,5035.115,6567.235
1994/10,5555.65,7190.078
1994/11,6108.348,7607.415
1994/12,5310.387,6998.766
1995/01,5932.391,6240.11
1995/02,6066.195,5595.888
1995/03,6788.153,6353.999
1995/04,5864.53,4968.974
1995/05,7027.839,6036.843
1995/06,6739.092,6026.798
1995/07,6048.581,5388.871
1995/08,7099.164,6407.248
1995/09,6939.424,6076.49
1995/10,7346.393,6628.123
1995/11,6909.189,6438.24
1995/12,6780.603,6291.483
1996/01,7142.79,6475.299
1996/02,7112.474,6622.052
1996/03,7615.113,6838.704
1996/04,7915.54,7077.139
1996/05,8075.42,7482.769
1996/06,7615.922,6849.638
1996/07,8003.292,7617.602
1996/08,7857.667,7526.405
1996/09,8386.121,7691.149
1996/10,9299.12,9031.28
1996/11,8467.329,8258.266
1996/12,8508.952,7998.463
1997/01,8181.992,7664.836
1997/02,8068.267,7685.721
1997/03,8848.132,8178.496
1997/04,9220.36,9096.105
1997/05,8835.675,8591.105
1997/06,9384.39,9112.501
1997/07,9361.095,9422.517
1997/08,8950.302,9074.434
1997/09,9864.982,9988.202
1997/10,10289.043,10447.603
1997/11,9559.202,9945.341
1997/12,9868.058,10601.339
1998/01,8547.674,9217.785
1998/02,8908.95,9495.419
1998/03,10649.545,11160.956
1998/04,9792.844,10049.725
1998/05,9772.383,10089.792
1998/06,10306.289,10883.181
1998/07,9126.235,10049.144
1998/08,9236.794,10042.111
1998/09,10223.556,10934.092
1998/10,10338.716,11100.205
1998/11,10266.337,11170.542
1998/12,10369.971,11180.106
1999/01,8663.443,9211.313
1999/02,9613.236,9936.389
1999/03,11663.694,11999.227
1999/04,10533.432,10946.21
1999/05,11068.961,11320.32
1999/06,12038.721,12351.138
1999/07,11050.32,11280.92
1999/08,12285.014,12718.154
1999/09,11957.664,12255.905
1999/10,12329.161,12926.013
1999/11,12994.306,13849.593
1999/12,12163.864,13179.582
2000/01,11252.743,11858.647
2000/02,13189.566,13439.078
2000/03,13575.435,13921.248
2000/04,12327.403,12717.859
2000/05,14654.687,15192.823
2000/06,14045.054,14567.332
2000/07,13411.361,13993.007
2000/08,15261.802,16102.786
2000/09,14110.043,14781.597
2000/10,16131.582,16841.327
2000/11,14525.529,15966.404
2000/12,13635.532,15075.715
2001/01,12853.053,13799.523
2001/02,12566.162,13130.126
2001/03,14311.048,14932.923
2001/04,13273.001,14112.743
2001/05,14051.74,14660.233
2001/06,13423.356,13749.346
2001/07,12947.584,13503.005
2001/08,13502.467,14163.415
2001/09,12679.097,13132.205
2001/10,14484.934,15561.174
2001/11,12511.301,14188.774
2001/12,12175.99,13462.967
2002/01,11579.633,12159.29
2002/02,11977.242,12545.422
2002/03,13120.312,13416.805
2002/04,14445.063,15014.09
2002/05,13911.295,14444.728
2002/06,13124.146,13518.791
2002/07,14066.592,14560.945
2002/08,13726.998,14300.544
2002/09,13573.619,14063.594
2002/10,14856.076,15676.501
2002/11,13230.385,14397.931
2002/12,13434.619,14580.248
2003/01,12613.632,12622.254
2003/02,12867.156,12581.877
2003/03,13570.706,13985.278
2003/04,13563.24,14369.374
2003/05,13153.418,13674.733
2003/06,13527.896,13847.023
2003/07,13740.277,14424.284
2003/08,13427.713,13816.848
2003/09,14375.051,14730.983
2003/10,15128.019,15735.472
2003/11,13760.615,14692.799
2003/12,15038.713,16064.919
2004/01,12710.912,12872.078
2004/02,13864.283,14075.671
2004/03,16617.819,16769.149
2004/04,14725.798,15424.41
2004/05,16154.748,16061.986
